day,id,treatment,observer,seconds_spent_courting,mating_latency,trial_duration,prop_courtship
2,1,glued,Dan,257,NA,900,0.285555556
2,2,control,Dan,17,703,703,0.024182077
2,3,control,Jack,0,NA,900,0
2,4,glued,Jack,6,NA,900,0.006666667
2,5,glued,Dan,0,NA,900,0
2,6,control,Dan,0,NA,900,0
2,7,control,Dan,0,NA,900,0
2,8,glued,Dan,334,NA,900,0.371111111
2,9,control,Jack,39,230,230,0.169565217
2,10,glued,Jack,156,NA,900,0.173333333
2,11,glued,Jack,631,NA,900,0.701111111
2,12,control,Jack,2,NA,900,0.002222222
2,13,glued,Dan,0,NA,900,0
2,14,control,Dan,388,435,435,0.891954023
2,15,glued,Dan,0,NA,900,0
2,16,control,Dan,0,409,409,0
2,17,control,Jack,176,321,321,0.548286604
2,18,glued,Jack,375,NA,900,0.416666667
2,19,control,Jack,7,877,877,0.007981756
2,20,glued,Jack,5,NA,900,0.00617284
2,21,glued,Dan,33,NA,900,0.036666667
2,22,control,Dan,0,110,110,0
2,23,glued,Dan,425,NA,900,0.472222222
2,24,control,Dan,305,454,454,0.671806167
2,25,control,Dan,29,NA,900,0.032222222
2,26,glued,Dan,543,NA,900,0.624137931
2,27,glued,Dan,0,NA,900,0
2,28,control,Dan,626,NA,900,0.695555556
1,29,glued,Janice,253,NA,900,0.281111111
1,30,glued,Janice,193,NA,900,0.214444444
1,31,glued,Janice,766,NA,900,0.851111111
1,32,glued,Janice,502,NA,900,0.557777778
1,33,glued,Janice,560,NA,900,0.622222222
1,34,glued,Janice,847,NA,900,0.941111111
1,35,control,Janice,67,NA,900,0.074444444
1,36,control,Janice,6,NA,900,0.006666667
1,37,control,Janice,125,183,183,0.683060109
1,38,control,Janice,212,418,418,0.507177033
1,39,control,Janice,322,672,672,0.479166667
1,40,control,Janice,35,135,135,0.259259259
