replicate,batch,female_age,treatment,vial,total_offspring,days
1,1,4-5,low,1,57,2
1,1,4-5,low,2,101,2
1,1,4-5,low,3,31,2
1,1,4-5,low,4,0,2
1,1,4-5,low,5,9,2
1,1,4-5,low,6,120,2
1,1,4-5,low,7,103,2
1,1,4-5,low,8,107,2
1,1,4-5,low,9,103,2
1,1,4-5,low,10,35,2
1,1,4-5,low,11,99,2
1,1,4-5,low,12,130,2
1,1,4-5,low,13,85,2
1,1,4-5,low,14,96,2
1,1,4-5,low,15,153,2
1,1,4-5,low,16,125,2
1,1,4-5,low,17,105,2
1,1,4-5,low,18,79,2
1,1,4-5,low,19,119,2
1,1,4-5,low,20,134,2
1,1,4-5,medium,1,67,2
1,1,4-5,medium,2,113,2
1,1,4-5,medium,3,100,2
1,1,4-5,medium,4,116,2
1,1,4-5,medium,5,148,2
1,1,4-5,medium,6,125,2
1,1,4-5,medium,7,127,2
1,1,4-5,medium,8,108,2
1,1,4-5,medium,9,139,2
1,1,4-5,medium,10,130,2
1,1,4-5,medium,11,97,2
1,1,4-5,medium,12,138,2
1,1,4-5,medium,13,111,2
1,1,4-5,medium,14,128,2
1,1,4-5,medium,15,76,2
1,1,4-5,medium,16,104,2
1,1,4-5,medium,17,98,2
1,1,4-5,medium,18,96,2
1,1,4-5,medium,19,131,2
1,1,4-5,medium,20,117,2
1,1,4-5,high,1,92,2
1,1,4-5,high,2,141,2
1,1,4-5,high,3,148,2
1,1,4-5,high,4,114,2
1,1,4-5,high,5,95,2
1,1,4-5,high,6,110,2
1,1,4-5,high,7,132,2
1,1,4-5,high,8,113,2
1,1,4-5,high,9,134,2
1,1,4-5,high,10,29,2
1,1,4-5,high,11,105,2
1,1,4-5,high,12,118,2
1,1,4-5,high,13,123,2
1,1,4-5,high,14,132,2
1,1,4-5,high,15,118,2
1,1,4-5,high,16,133,2
1,1,4-5,high,17,149,2
1,1,4-5,high,18,54,2
1,1,4-5,high,19,133,2
1,1,4-5,high,20,95,2
1,2,6-7,low,1,62,2
1,2,6-7,low,2,149,2
1,2,6-7,low,3,0,2
1,2,6-7,low,4,0,2
1,2,6-7,low,5,0,2
1,2,6-7,low,6,138,2
1,2,6-7,low,7,83,2
1,2,6-7,low,8,75,2
1,2,6-7,low,9,123,2
1,2,6-7,low,10,35,2
1,2,6-7,low,11,97,2
1,2,6-7,low,12,118,2
1,2,6-7,low,13,72,2
1,2,6-7,low,14,98,2
1,2,6-7,low,15,94,2
1,2,6-7,low,16,95,2
1,2,6-7,low,17,112,2
1,2,6-7,low,18,41,2
1,2,6-7,low,19,142,2
1,2,6-7,low,20,140,2
1,2,6-7,medium,1,30,2
1,2,6-7,medium,2,128,2
1,2,6-7,medium,3,153,2
1,2,6-7,medium,4,122,2
1,2,6-7,medium,5,137,2
1,2,6-7,medium,6,144,2
1,2,6-7,medium,7,130,2
1,2,6-7,medium,8,111,2
1,2,6-7,medium,9,141,2
1,2,6-7,medium,10,122,2
1,2,6-7,medium,11,118,2
1,2,6-7,medium,12,142,2
1,2,6-7,medium,13,118,2
1,2,6-7,medium,14,141,2
1,2,6-7,medium,15,106,2
1,2,6-7,medium,16,121,2
1,2,6-7,medium,17,108,2
1,2,6-7,medium,18,115,2
1,2,6-7,medium,19,97,2
1,2,6-7,medium,20,133,2
1,2,6-7,high,1,95,2
1,2,6-7,high,2,167,2
1,2,6-7,high,3,164,2
1,2,6-7,high,4,132,2
1,2,6-7,high,5,103,2
1,2,6-7,high,6,125,2
1,2,6-7,high,7,135,2
1,2,6-7,high,8,156,2
1,2,6-7,high,9,90,2
1,2,6-7,high,10,16,2
1,2,6-7,high,11,157,2
1,2,6-7,high,12,151,2
