date,trial_num,trial_date,matings,female_age,treatment,vial,trial_start,mating_start,mating_end,male_type,mating_latency,trial_duration,courtship_bouts,mated?,notes,
2023-11-23,1,nov_23,some,14,medium,1,9:06:05 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,high,1,9:06:48 AM,9:11:53 AM,9:34:20 AM,normal,305,1652,0,y,,
2023-11-23,1,nov_23,some,14,low,1,9:06:49 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,medium,2,9:07:45 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,high,2,9:07:46 AM,,,normal,,10800,5,,,
2023-11-23,1,nov_23,some,14,low,2,9:08:08 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,medium,3,9:08:11 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,high,3,9:08:29 AM,9:23:47 AM,9:46:54 AM,normal,918,2305,0,y,,
2023-11-23,1,nov_23,some,14,low,3,dead,,,normal,,10800,NA,,,
2023-11-23,1,nov_23,some,14,medium,4,9:08:56 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,high,4,9:08:57 AM,,,normal,,10800,5,,,
2023-11-23,1,nov_23,some,14,low,4,9:09:07 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,medium,5,9:09:34 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,high,5,9:09:34 AM,10:03:54 AM,10:22:51 AM,normal,3260,4397,5,y,,
2023-11-23,1,nov_23,some,14,low,5,9:10:03 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,medium,6,9:10:56 AM,NA,NA,glued,,10800,1,,,
2023-11-23,1,nov_23,some,14,high,6,9:10:56 AM,,,normal,,10800,5,,,
2023-11-23,1,nov_23,some,14,low,6,9:12:24 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,medium,7,9:12:24 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,high,7,9:12:24 AM,,,normal,,10800,5,,,
2023-11-23,1,nov_23,some,14,low,7,9:12:40 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,medium,8,9:12:51 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,high,8,9:13:30 AM,,,normal,,10800,5,,,
2023-11-23,1,nov_23,some,14,low,8,9:14:11 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,medium,9,9:15:12 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,high,9,9:15:12 AM,,,normal,,10800,5,,,
2023-11-23,1,nov_23,some,14,low,9,9:15:13 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,medium,10,9:15:41 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,high,10,9:17:32 AM,,,normal,,10800,5,,,
2023-11-23,1,nov_23,some,14,low,10,9:17:33 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,medium,11,9:17:34 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,high,11,9:17:35 AM,11:36:44 AM,12:05:01 PM,normal,8349,10046,5,y,mating ended approx. 8 min earlier,
2023-11-23,1,nov_23,some,14,low,11,9:19:08 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,medium,12,9:19:08 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,high,12,9:19:10 AM,12:03:47 PM,12:13:40 PM,normal,9877,10470,5,y,,
2023-11-23,1,nov_23,some,14,low,12,9:20:08 AM,NA,NA,glued,,10800,1,,,
2023-11-23,1,nov_23,some,14,medium,13,9:20:09 AM,NA,NA,glued,,10800,3,,,
2023-11-23,1,nov_23,some,14,high,13,9:20:10 AM,,,normal,,10800,5,,,
2023-11-23,1,nov_23,some,14,low,13,9:20:10 AM,NA,NA,glued,,10800,3,,,
