treatment,vial,birthday,death_date,longevity,status
low,1,2023-11-09,2023-12-25,46,2
low,2,2023-11-09,2023-12-23,44,2
low,3,2023-11-09,2023-11-17,8,2
low,4,2023-11-09,2023-12-31,52,2
low,5,2023-11-09,2023-12-02,23,2
low,6,2023-11-09,2023-12-30,51,2
low,7,2023-11-09,2023-12-30,51,2
low,8,2023-11-09,2023-12-30,51,2
low,9,2023-11-09,2023-12-29,50,2
low,10,2023-11-09,,60,1
low,11,2023-11-09,escaped on 2023-12-09,NA,NA
low,12,2023-11-09,2023-12-25,46,2
low,13,2023-11-09,2023-12-31,52,2
low,14,2023-11-09,,60,1
low,15,2023-11-09,2023-12-30,51,2
low,16,2023-11-09,2023-12-14,35,2
low,17,2023-11-09,2024-01-01,53,2
low,18,2023-11-09,2023-12-24,45,2
low,19,2023-11-09,2024-01-01,53,2
low,20,2023-11-09,2023-12-28,49,2
medium,1,2023-11-09,,60,1
medium,2,2023-11-09,2023-12-24,45,2
medium,3,2023-11-09,2023-12-22,43,2
medium,4,2023-11-09,2023-12-15,36,2
medium,5,2023-11-09,2023-12-11,32,2
medium,6,2023-11-09,2023-12-31,52,2
medium,7,2023-11-09,2023-12-18,39,2
medium,8,2023-11-09,2023-12-14,35,2
medium,9,2023-11-09,2023-12-23,44,2
medium,10,2023-11-09,2023-12-29,50,2
medium,11,2023-11-09,2024-01-01,53,2
medium,12,2023-11-09,2023-12-28,49,2
medium,13,2023-11-09,2024-01-07,59,2
medium,14,2023-11-09,2023-12-11,32,2
medium,15,2023-11-09,,60,1
medium,16,2023-11-09,2024-01-01,53,2
medium,17,2023-11-09,2023-12-11,32,2
medium,18,2023-11-09,2023-12-05,26,2
medium,19,2023-11-09,2023-12-22,43,2
medium,20,2023-11-09,2023-12-18,39,2
high,1,2023-11-09,2023-12-24,45,2
high,2,2023-11-09,2024-01-01,53,2
high,3,2023-11-09,2024-01-02,54,2
high,4,2023-11-09,2023-12-22,43,2
high,5,2023-11-09,2023-12-23,44,2
high,6,2023-11-09,2024-01-01,53,2
high,7,2023-11-09,2024-01-03,55,2
high,8,2023-11-09,2024-01-01,53,2
high,9,2023-11-09,2023-12-25,46,2
high,10,2023-11-09,2023-12-10,31,2
high,11,2023-11-09,2024-01-01,53,2
high,12,2023-11-09,2024-01-07,59,2
high,13,2023-11-09,2023-12-22,43,2
high,14,2023-11-09,2023-12-25,46,2
high,15,2023-11-09,2023-12-18,39,2
high,16,2023-11-09,2023-12-25,46,2
high,17,2023-11-09,2023-12-24,45,2
high,18,2023-11-09,2023-12-15,36,2
high,19,2023-11-09,2023-12-31,52,2
high,20,2023-11-09,2023-12-29,50,2
