days,batch,female_age,treatment,vial,offspring,daily_offspring,notes
nov 13-15,1,05-Apr,low,1,57,28.5,
nov 13-15,1,05-Apr,low,2,101,50.5,
nov 13-15,1,05-Apr,low,3,31,15.5,
nov 13-15,1,05-Apr,low,4,0,0,
nov 13-15,1,05-Apr,low,5,9,4.5,
nov 13-15,1,05-Apr,low,6,120,60,
nov 13-15,1,05-Apr,low,7,103,51.5,
nov 13-15,1,05-Apr,low,8,107,53.5,
nov 13-15,1,05-Apr,low,9,103,51.5,
nov 13-15,1,05-Apr,low,10,35,17.5,
nov 13-15,1,05-Apr,low,11,99,49.5,
nov 13-15,1,05-Apr,low,12,130,65,
nov 13-15,1,05-Apr,low,13,85,42.5,
nov 13-15,1,05-Apr,low,14,96,48,
nov 13-15,1,05-Apr,low,15,153,76.5,
nov 13-15,1,05-Apr,low,16,125,62.5,
nov 13-15,1,05-Apr,low,17,105,52.5,
nov 13-15,1,05-Apr,low,18,79,39.5,
nov 13-15,1,05-Apr,low,19,119,59.5,
nov 13-15,1,05-Apr,low,20,134,67,
nov 13-15,1,05-Apr,medium,1,67,33.5,
nov 13-15,1,05-Apr,medium,2,113,56.5,
nov 13-15,1,05-Apr,medium,3,100,50,
nov 13-15,1,05-Apr,medium,4,116,58,
nov 13-15,1,05-Apr,medium,5,148,74,
nov 13-15,1,05-Apr,medium,6,125,62.5,
nov 13-15,1,05-Apr,medium,7,127,63.5,
nov 13-15,1,05-Apr,medium,8,108,54,
nov 13-15,1,05-Apr,medium,9,139,69.5,
nov 13-15,1,05-Apr,medium,10,130,65,
nov 13-15,1,05-Apr,medium,11,97,48.5,
nov 13-15,1,05-Apr,medium,12,138,69,
nov 13-15,1,05-Apr,medium,13,111,55.5,
nov 13-15,1,05-Apr,medium,14,128,64,
nov 13-15,1,05-Apr,medium,15,76,38,
nov 13-15,1,05-Apr,medium,16,104,52,
nov 13-15,1,05-Apr,medium,17,98,49,
nov 13-15,1,05-Apr,medium,18,96,48,
nov 13-15,1,05-Apr,medium,19,131,65.5,
nov 13-15,1,05-Apr,medium,20,117,58.5,
nov 13-15,1,05-Apr,high,1,92,46,
nov 13-15,1,05-Apr,high,2,141,70.5,
nov 13-15,1,05-Apr,high,3,148,74,
nov 13-15,1,05-Apr,high,4,114,57,
nov 13-15,1,05-Apr,high,5,95,47.5,
nov 13-15,1,05-Apr,high,6,110,55,
nov 13-15,1,05-Apr,high,7,132,66,
nov 13-15,1,05-Apr,high,8,113,56.5,
nov 13-15,1,05-Apr,high,9,134,67,
nov 13-15,1,05-Apr,high,10,29,14.5,
nov 13-15,1,05-Apr,high,11,105,52.5,
nov 13-15,1,05-Apr,high,12,118,59,
