treatment,vial,birthday,death_date,longevity,status,notes
low,4,2024-01-11,2024-01-16,5,2,exclude
medium,16,2024-01-11,2024-01-19,8,2,exclude
medium,5,2024-01-11,2024-02-04,24,2,
high,18,2024-01-11,2024-02-04,24,2,
high,8,2024-01-11,2024-02-06,26,2,
low,20,2024-01-11,2024-02-07,27,2,
high,2,2024-01-11,2024-02-07,27,2,
medium,1,2024-01-11,2024-02-08,28,2,
medium,15,2024-01-11,2024-02-08,28,2,
high,12,2024-01-11,2024-02-08,28,2,
low,10,2024-01-11,2024-02-10,30,2,
high,13,2024-01-11,2024-02-11,31,2,
low,11,2024-01-11,2024-02-12,32,2,
low,19,2024-01-11,2024-02-12,32,2,
high,3,2024-01-11,2024-02-12,32,2,
medium,11,2024-01-11,2024-02-14,34,2,
low,1,2024-01-11,2024-02-15,35,2,
medium,18,2024-01-11,2024-02-15,35,2,
high,1,2024-01-11,2024-02-15,35,2,
low,3,2024-01-11,2024-02-16,36,2,
high,14,2024-01-11,2024-02-16,36,2,
high,17,2024-01-11,2024-02-18,38,2,
low,7,2024-01-11,2024-02-20,40,2,
low,9,2024-01-11,2024-02-20,40,2,
medium,8,2024-01-11,2024-02-20,40,2,
medium,12,2024-01-11,2024-02-20,40,2,
high,5,2024-01-11,2024-02-20,40,2,
high,10,2024-01-11,2024-02-20,40,2,
low,6,2024-01-11,2024-02-21,41,2,
low,13,2024-01-11,2024-02-22,42,2,
low,18,2024-01-11,2024-02-22,42,2,
medium,19,2024-01-11,2024-02-22,42,2,
medium,14,2024-01-11,2024-02-23,43,2,
high,16,2024-01-11,2024-02-23,43,2,
high,19,2024-01-11,2024-02-23,43,2,
low,14,2024-01-11,2024-02-24,44,2,
medium,3,2024-01-11,2024-02-24,44,2,
medium,10,2024-01-11,2024-02-24,44,2,
high,4,2024-01-11,2024-02-24,44,2,
high,11,2024-01-11,2024-02-24,44,2,
low,15,2024-01-11,2024-02-25,45,2,
medium,7,2024-01-11,2024-02-26,46,2,
medium,20,2024-01-11,2024-02-26,46,2,
high,6,2024-01-11,2024-02-26,46,2,
low,2,2024-01-11,2024-02-27,47,2,
low,5,2024-01-11,2024-02-27,47,2,
low,8,2024-01-11,,47,1,
low,12,2024-01-11,,47,1,
low,16,2024-01-11,,47,1,
low,17,2024-01-11,,47,1,
medium,2,2024-01-11,,47,1,
medium,4,2024-01-11,2024-02-27,47,2,
medium,6,2024-01-11,,47,1,
medium,9,2024-01-11,,47,1,
medium,13,2024-01-11,,47,1,
medium,17,2024-01-11,,47,1,
high,7,2024-01-11,,47,1,
high,9,2024-01-11,,47,1,
high,15,2024-01-11,,47,1,
high,20,2024-01-11,,47,1,
