days,batch,female_age,number_of_days,treatment,vial,offspring,daily_offspring,notes
jan_15,1,4,1,low,1,44,44,
jan_15,1,4,1,low,2,31,31,
jan_15,1,4,1,low,3,37,37,
jan_15,1,4,1,low,4,1,1,
jan_15,1,4,1,low,5,14,14,
jan_15,1,4,1,low,6,36,36,
jan_15,1,4,1,low,7,19,19,
jan_15,1,4,1,low,8,32,32,
jan_15,1,4,1,low,9,0,0,
jan_15,1,4,1,low,10,12,12,
jan_15,1,4,1,low,11,6,6,
jan_15,1,4,1,low,12,34,34,
jan_15,1,4,1,low,13,38,38,
jan_15,1,4,1,low,14,68,68,
jan_15,1,4,1,low,15,55,55,
jan_15,1,4,1,low,16,70,70,
jan_15,1,4,1,low,17,35,35,
jan_15,1,4,1,low,18,21,21,
jan_15,1,4,1,low,19,67,67,
jan_15,1,4,1,low,20,51,51,
jan_15,1,4,1,medium,1,59,59,
jan_15,1,4,1,medium,2,63,63,
jan_15,1,4,1,medium,3,36,36,
jan_15,1,4,1,medium,4,14,14,
jan_15,1,4,1,medium,5,68,68,
jan_15,1,4,1,medium,6,20,20,
jan_15,1,4,1,medium,7,41,41,
jan_15,1,4,1,medium,8,47,47,
jan_15,1,4,1,medium,9,44,44,
jan_15,1,4,1,medium,10,62,62,
jan_15,1,4,1,medium,11,15,15,
jan_15,1,4,1,medium,12,0,0,
jan_15,1,4,1,medium,13,60,60,
jan_15,1,4,1,medium,14,43,43,
jan_15,1,4,1,medium,15,62,62,
jan_15,1,4,1,medium,16,31,31,
jan_15,1,4,1,medium,17,66,66,
jan_15,1,4,1,medium,18,10,10,
jan_15,1,4,1,medium,19,41,41,
jan_15,1,4,1,medium,20,41,41,
jan_15,1,4,1,high,1,48,48,
jan_15,1,4,1,high,2,11,11,
jan_15,1,4,1,high,3,21,21,
jan_15,1,4,1,high,4,58,58,
jan_15,1,4,1,high,5,53,53,
jan_15,1,4,1,high,6,0,0,
jan_15,1,4,1,high,7,50,50,
